"logFC"	"logCPM"	"PValue"	"FDR"
"KWMTBOMO13009.mrna1"	-18.2977560744964	15.7881361699969	5.61396439473431e-145	2.91044756116211e-140
"MSTRG.6585.21"	22.6482415030095	14.4857772109084	4.04124503785996e-110	1.04755133248887e-105
"KWMTBOMO06272.mrna1"	12.1384571228508	12.0231803365065	4.2404208279376e-102	7.32787123275896e-98
"MSTRG.8856.1"	-18.551133765361	10.3887881840436	3.94777498500361e-101	5.11661246368856e-97
"KWMTBOMO02792.mrna1"	14.0286946125019	10.9823041621248	1.33141026039374e-100	1.38048604259185e-96
"KWMTBOMO03043.mrna1"	20.9787586661488	12.81630904121	2.59630627170472e-98	2.24333843406647e-94
"KWMTBOMO14137.mrna1"	-18.0918301760562	9.92953072866606	4.72717311259184e-98	3.50101193822998e-94
"MSTRG.5429.1"	12.9964288304995	12.9796337279359	5.54526636691908e-96	3.59354055325232e-92
"MSTRG.13217.2"	-16.0098025320264	9.82839544989438	4.04609637010735e-95	2.33068637906084e-91
"KWMTBOMO06670.mrna1"	-16.5405999865391	13.7903521668225	2.62193472103666e-94	1.35928961742704e-90
"KWMTBOMO06684.mrna1"	-15.099464134195	11.4923363422974	4.53191404198728e-94	2.13589108798861e-90
"KWMTBOMO03936.mrna1"	-15.1131292709822	10.6230514052399	9.08752612471378e-92	3.92603847402947e-88
"KWMTBOMO11038.mrna1"	-17.7354605801459	9.57321274039394	1.6431415295231e-89	6.55272202423586e-86
"MSTRG.11732.26"	19.7382569806208	11.5758354504254	4.58186998843557e-89	1.69669918436047e-85
"KWMTBOMO03558.mrna1"	-14.7738117346497	9.91636356868579	2.80235134056992e-88	9.68548670327775e-85
"MSTRG.6585.11"	21.1610559007635	12.9986037357482	1.23793448084926e-85	4.01113983066675e-82
"KWMTBOMO05339.mrna1"	-17.0622809685202	8.90016842537702	8.74717059313127e-85	2.66752685329238e-81
"MSTRG.8568.1"	15.6375364277278	9.25330363233265	6.22142956354961e-83	1.79187540479501e-79
"KWMTBOMO15045.mrna1"	14.4843799712242	10.0778080989645	1.48635947528842e-82	4.05564917249355e-79
"KWMTBOMO05106.mrna1"	14.4632527100915	8.88006772463445	1.72277150741785e-82	4.46568216295319e-79
"MSTRG.11732.2"	16.1742905705242	9.79462454765596	2.06332284640704e-82	5.04595897178534e-79
"MSTRG.3695.2"	-11.0088389281294	9.94458875204075	2.14129385605149e-82	5.04595897178534e-79
"KWMTBOMO09140.mrna1"	13.5321984605465	9.7336163184593	2.91186615671685e-82	6.56347292011616e-79
"KWMTBOMO12122.mrna1"	-14.4422005717327	10.7727499986822	1.03813241305992e-81	2.24249577876106e-78
"MSTRG.4070.1"	-12.1776205952239	9.1415091104349	2.69320411670479e-79	5.58495124089306e-76
"MSTRG.13129.1"	-16.3711000068328	8.20921028896814	1.01072036158369e-77	2.01533752713782e-74
"MSTRG.13698.1"	12.856192515366	10.8938639696025	1.49986696994001e-77	2.87991123417037e-74
"KWMTBOMO04650.mrna1"	-9.24929230964854	13.6646642164229	2.43251319361316e-77	4.50388505344597e-74
"MSTRG.21715.4"	16.5602436573673	8.39822474197078	6.68802294373217e-77	1.19561094300658e-73
"KWMTBOMO02793.mrna1"	10.7682594724957	9.46513686550194	1.96373714384416e-76	3.39353415827709e-73
"KWMTBOMO03045.mrna1"	16.2249236297759	11.9751106247044	2.03683186229476e-76	3.40630562054669e-73
"KWMTBOMO01834.mrna1"	-16.3124522792176	8.15057643127037	7.02880501863757e-76	1.13873230806634e-72
"MSTRG.19010.7"	15.3962653494702	9.37079823742364	9.33439592930158e-76	1.46643360049328e-72
"KWMTBOMO03424.mrna1"	-13.2618816726951	8.414015371297	1.48536150918209e-75	2.26487049178021e-72
"MSTRG.8565.8"	-15.8373540117854	7.67569555892131	1.37637760110301e-74	2.0387298278281e-71
"MSTRG.13129.2"	-15.8504660550479	7.68882852640183	4.67579387900915e-73	6.73353283526309e-70
"MSTRG.8043.1"	-10.0138438170623	8.91489104956104	8.85351902668119e-73	1.24052158621685e-69
"MSTRG.19507.1"	-16.3500682978675	8.18816321060134	5.21487340288937e-72	7.11459689015772e-69
"KWMTBOMO08724.mrna1"	14.411556265992	8.0243922220065	1.33230581972577e-71	1.77104437466777e-68
"MSTRG.6585.18"	16.9017703854992	8.73965849294282	1.53653890267034e-71	1.99146965827846e-68
"KWMTBOMO14916.mrna1"	15.5655727464584	12.9701551123511	5.19078239934501e-71	6.56355443729862e-68
"KWMTBOMO12748.mrna1"	12.0783736256775	7.66383623933636	6.41660287722389e-71	7.92037959437901e-68
"MSTRG.6585.3"	18.1699201790529	10.0076004267757	1.0630060132345e-70	1.28161443590968e-67
"MSTRG.8437.1"	-14.3324934259693	9.46081251301022	1.24148735011427e-70	1.46278247027214e-67
"MSTRG.2559.8"	16.1916219186395	8.02973471745651	5.96186094624898e-70	6.86846126747524e-67
"MSTRG.3061.1"	-10.7942639887179	11.7311805129691	1.07505012974389e-69	1.21160486687635e-66
"KWMTBOMO06199.mrna1"	-15.4641259555512	7.30273565514759	2.23073931155733e-69	2.46060038572483e-66
"KWMTBOMO14759.mrna1"	-15.4817292056207	7.32032079674217	3.21754588988582e-69	3.4751506576948e-66
"MSTRG.11732.14"	16.1067014032685	13.3738529453764	8.88200864754647e-69	9.39734641458677e-66
"KWMTBOMO12393.mrna1"	-13.3638748567095	7.16923358546511	1.65525080256751e-68	1.71626334715015e-65
"MSTRG.15876.13"	15.1081217990738	6.9468568142888	1.45833821992749e-67	1.4716546864851e-64
"MSTRG.6585.12"	15.1663431446605	11.124231360565	1.47611140746533e-67	1.4716546864851e-64
"MSTRG.7020.1"	12.2859543437023	10.0850004614058	1.95554635449901e-67	1.91285640860928e-64
"KWMTBOMO06334.mrna1"	16.2995975202066	15.2718157044397	2.3207749892942e-67	2.22807292166628e-64
"MSTRG.2627.2"	15.734354681022	7.57265204918211	1.48799066740354e-66	1.40258000309458e-63
"KWMTBOMO05102.mrna1"	15.2241659748211	7.06275613263481	2.14345282097479e-66	1.98433972496064e-63
"MSTRG.3510.1"	-15.0060680675117	6.84504420963315	8.95181503480944e-66	8.14191134823905e-63
"KWMTBOMO15198.mrna1"	10.2920238505272	8.17787439137432	9.64951913477372e-66	8.62517276731162e-63
"MSTRG.14148.15"	-15.0617066361931	6.90066182775618	1.64060412535827e-65	1.44159050289744e-62
"KWMTBOMO06292.mrna1"	10.9879208602778	10.0969642559089	6.14832448414871e-64	5.31245977052869e-61
"KWMTBOMO13619.mrna1"	11.0386064881152	8.69020683739561	6.50453031157691e-64	5.52810434332921e-61
"KWMTBOMO14915.mrna1"	11.408564014932	9.77193709339726	1.28641458614059e-63	1.07567082885946e-60
"MSTRG.11732.25"	15.0287478800009	6.86755247537123	2.2953200504681e-63	1.88882979962568e-60
"KWMTBOMO11238.mrna1"	-15.1112240442908	6.9501128824391	2.45298576624022e-63	1.98703345436237e-60
"KWMTBOMO12179.mrna1"	14.7371373183231	6.57622943637363	8.46440062866001e-63	6.75107571987109e-60
"MSTRG.15605.6"	-14.7929280547309	6.63216161679371	1.09010826334937e-62	8.56280040860926e-60
"MSTRG.13129.7"	-14.7968244163661	6.63603566625037	1.28319047671346e-62	9.9290214752621e-60
"MSTRG.18377.1"	-9.43535308363689	9.79497499054071	2.93947402748341e-62	2.24104635304151e-59
"KWMTBOMO16484.mrna1"	-8.55868052265315	9.27842247201898	3.66909186614054e-62	2.75676419733803e-59
"KWMTBOMO12810.mrna1"	17.0539693160484	13.700995478974	7.84294991394798e-62	5.8086007484115e-59
"KWMTBOMO02869.mrna1"	-9.64871605409565	9.53377285840822	1.12979974209593e-60	8.24960676471541e-58
"MSTRG.13700.1"	8.24295752984622	8.87912190347198	1.76461700700791e-60	1.27059777075432e-57
"KWMTBOMO06667.mrna1"	-15.1864686171677	7.02531622730017	1.79951255840974e-60	1.27797437761145e-57
"KWMTBOMO06685.mrna1"	-12.818165144634	6.63882009964518	2.84871139865521e-60	1.99575331135787e-57
"MSTRG.21631.1"	-14.8580178661698	6.69715291038164	4.3444895723134e-60	3.00308497196592e-57
"MSTRG.7182.8"	-14.5732990019246	6.41279680877789	4.80111531001246e-60	3.27505553969705e-57
"MSTRG.7182.3"	-14.6357750890773	6.47522350705171	8.65105060048598e-60	5.82462878287006e-57
"MSTRG.9318.3"	-14.668872501412	6.5082211277471	1.06832272299191e-59	7.10064806770122e-57
"MSTRG.7182.4"	-14.7538744950907	6.59316485550759	1.31887719466555e-59	8.65500638013241e-57
"KWMTBOMO09952.mrna1"	-9.3471301546111	9.56412068482353	4.26278686367557e-59	2.76244574216915e-56
"KWMTBOMO03046.mrna1"	15.0206707005435	6.85951436304835	4.51880830333805e-59	2.89220467740685e-56
"MSTRG.13479.1"	12.8166273763833	7.21652809385989	4.97715502810353e-59	3.14671522099965e-56
"MSTRG.7352.1"	8.86069111961845	7.58515782237068	1.66523905968708e-58	1.04013239242599e-55
"MSTRG.9266.9"	10.804638127863	8.19042126786592	3.34973489716348e-58	2.06738459849579e-55
"MSTRG.1186.5"	-14.5010475694182	6.3406773368278	4.00103930881933e-58	2.44030448102495e-55
"MSTRG.9266.17"	11.8087152833431	8.85226216921395	1.15865714717319e-57	6.98468168382556e-55
"KWMTBOMO15020.mrna1"	12.1119179899183	6.43086809202777	2.95974630107738e-57	1.76370261479028e-54
"KWMTBOMO11378.mrna1"	12.6492291147141	6.18199369257874	3.47644270367418e-57	2.04805930780205e-54
"KWMTBOMO12812.mrna1"	12.6530774270824	6.2669598876376	1.26270376051599e-56	7.35532034341915e-54
"KWMTBOMO13150.mrna1"	-10.2635738628361	7.67940943979838	1.53511860415455e-56	8.8427948661316e-54
"MSTRG.937.2"	8.88759909661375	8.1881179769418	7.69444758680639e-56	4.38355215651432e-53
"KWMTBOMO06666.mrna1"	-12.3681568123422	6.99125443772563	9.38305443741862e-56	5.28745316520754e-53
"MSTRG.14344.1"	12.0496153878113	7.71939469345126	2.89109569448725e-55	1.61164595794949e-52
"MSTRG.5917.1"	-8.52109294054646	7.60057259873913	2.9333116048259e-55	1.61778376094669e-52
