"logFC"	"logCPM"	"PValue"	"FDR"
"MSTRG.12429.1"	-20.2146083320591	12.0022508291701	7.58430819267853e-84	3.93193289633033e-79
"MSTRG.3699.10"	-20.3363369978009	12.12397729289	2.45196397984503e-81	6.35585843035529e-77
"KWMTBOMO07153.mrna1"	-12.9140859626577	10.5558516227303	1.28427550631135e-63	1.96229361242938e-59
"MSTRG.16697.1"	18.7718376020902	10.5595574086007	1.51402782433839e-63	1.96229361242938e-59
"KWMTBOMO01529.mrna1"	-14.5544476839782	10.1976928276037	1.93412041973206e-63	2.00541209840338e-59
"MSTRG.6845.1"	-13.3025213900684	10.3283861788665	4.69434729138906e-63	4.05615077712472e-59
"KWMTBOMO09265.mrna1"	-17.7289646120401	9.51675886623899	1.97266899180747e-61	1.46098683631821e-57
"KWMTBOMO07282.mrna1"	-16.8939864429389	8.68192289014038	2.69717356625538e-61	1.74786961494222e-57
"MSTRG.6587.1"	-16.9421011755824	8.7300285740015	4.29779518078759e-61	2.47567328397301e-57
"KWMTBOMO16676.mrna1"	-18.8300426645705	10.6177376926691	7.55132530732789e-61	3.914833579078e-57
"MSTRG.6581.1"	-12.1228043628252	9.38872217576953	1.66783922968755e-60	7.86052628951743e-57
"KWMTBOMO16807.mrna1"	-10.4217054675569	12.9043612024899	4.79725905740911e-60	2.07253584427717e-56
"MSTRG.260.1"	-12.6722678321105	9.49949031509984	1.22301280750001e-59	4.87728099840179e-56
"MSTRG.20984.1"	10.4559862412744	12.0287680709667	3.98953479082659e-59	1.47735322972016e-55
"MSTRG.20558.1"	17.5297474666761	9.31761696292402	6.30103757015219e-59	2.177764604996e-55
"KWMTBOMO07280.mrna1"	-10.3697527596544	9.71506772478241	5.46750110319103e-58	1.77157287307958e-54
"MSTRG.10491.1"	-12.3898400013224	8.59738047184182	1.25276166355914e-57	3.82040723081743e-54
"KWMTBOMO09041.mrna1"	-16.501466587511	8.2895042969451	1.71578131305636e-57	4.9417361451545e-54
"KWMTBOMO16722.mrna1"	-10.9508945254285	13.860977353977	2.31034399680687e-57	6.30395599086623e-54
"MSTRG.10493.2"	-14.0979059862428	8.34331309856368	2.74432149715728e-57	7.11369296885625e-54
"MSTRG.16697.3"	18.4250577154437	10.2128071318946	4.27718526377609e-57	1.05591483633307e-53
"MSTRG.4485.1"	-15.9992960915059	7.78751040693577	6.75665062391333e-57	1.59220471952518e-53
"KWMTBOMO10719.mrna1"	-13.1411336455717	7.96909447801082	7.34695796000559e-56	1.65603626748074e-52
"KWMTBOMO09466.mrna1"	-12.4987405250781	10.4723662725441	1.15402206148062e-55	2.49283190555582e-52
"KWMTBOMO09268.mrna1"	-15.8036676872297	7.59197668779795	3.7156938026167e-55	7.7053085523623e-52
"MSTRG.9569.1"	-16.6462508244066	8.43425815497898	5.49417737478663e-55	1.09551783708101e-51
"MSTRG.10104.1"	-15.6885736585227	7.47694406351693	2.89322746175507e-54	5.55531819628771e-51
"KWMTBOMO12719.mrna1"	-13.2407622007828	8.342905118832	3.10828776878709e-54	5.75510581418675e-51
"KWMTBOMO08963.mrna1"	-12.7401340190803	8.9187802774672	3.67346407372291e-54	6.56701372324196e-51
"MSTRG.13129.1"	16.1242451775216	7.91254541345484	4.76385979582318e-54	8.23242611316204e-51
"KWMTBOMO13182.mrna1"	-11.1419389018603	10.2673656764233	5.80892411862358e-54	9.69235276027617e-51
"MSTRG.10169.5"	16.3842322101738	8.172417062169	5.98258758808012e-54	9.69235276027617e-51
"KWMTBOMO03144.mrna1"	13.6398649396163	8.06296099107905	6.4044634750743e-54	1.00614121193417e-50
"KWMTBOMO05330.mrna1"	13.275504577793	7.95818930957925	1.15271962002559e-53	1.75766009591138e-50
"KWMTBOMO08182.mrna1"	-13.8367053944142	7.32613080578013	8.40229551828884e-53	1.21012098464768e-49
"KWMTBOMO11621.mrna1"	-10.5002196603641	9.02662912088901	8.40313165660096e-53	1.21012098464768e-49
"MSTRG.10495.1"	-12.9190830925068	8.5937831759161	1.15938693304019e-52	1.62448910188115e-49
"KWMTBOMO08722.mrna1"	-12.9227545085557	9.67828408655619	2.05731776647114e-52	2.80677697282009e-49
"KWMTBOMO12465.mrna1"	-13.5837799746268	10.7473355324361	4.94403405889308e-52	6.5721425055178e-49
"MSTRG.5259.3"	-15.3875228725437	7.17606002534471	5.19762475015529e-52	6.73651149805752e-49
"KWMTBOMO09454.mrna1"	-12.3500323324131	7.62545586022551	5.5483825059513e-52	7.01572668917154e-49
"KWMTBOMO02590.mrna1"	-12.8682259842121	9.35485365983713	1.10201048499713e-51	1.36027451365967e-48
"MSTRG.10073.1"	-11.4531573283382	7.70226737104617	2.07926859924703e-51	2.50687260443637e-48
"MSTRG.10006.4"	-15.26349349579	7.05211735342461	2.76729645109665e-51	3.26056704350463e-48
"MSTRG.6301.3"	15.4145645583838	7.20331704065056	7.59197807254637e-51	8.74646487144492e-48
"KWMTBOMO09429.mrna1"	-12.0176758438596	10.258697307727	8.75646548488047e-51	9.86872695940562e-48
"MSTRG.10116.25"	-15.4910550984679	7.27952714398192	1.01814374841577e-50	1.12305587976848e-47
