"logFC"	"logCPM"	"PValue"	"FDR"
"MSTRG.14355.18"	12.7648295934568	4.64429989967137	8.23176276383097e-26	4.26759276965289e-21
"MSTRG.2595.4"	-13.6554858324985	5.53188344427627	2.5111960277015e-23	6.50939678320645e-19
"MSTRG.16710.1"	-11.8289177916947	3.71401529618463	1.98585284826398e-20	3.40532619108852e-16
"KWMTBOMO00973.mrna1"	9.75617982015908	9.37866238744196	3.18405548698301e-20	3.40532619108852e-16
"MSTRG.2595.1"	-9.99196022849114	5.48061950717909	3.28426807002731e-20	3.40532619108852e-16
"MSTRG.21640.2"	12.2697024814299	4.15181220662053	1.45107962119092e-19	1.09259804787542e-15
"KWMTBOMO13319.mrna1"	8.41169388418933	5.66109955289163	1.47525921245451e-19	1.09259804787542e-15
"MSTRG.12079.3"	11.4381454709283	3.32733850389471	1.77411265552863e-15	1.14969153000713e-11
"MSTRG.12110.21"	-11.6370593085252	3.52386641284271	2.46981499713224e-15	1.42269576551474e-11
"MSTRG.2595.3"	-11.7793162936615	3.66483658372785	4.40727438274857e-15	2.09864303889831e-11
"KWMTBOMO15331.mrna1"	4.59450121578727	7.35228069185951	4.60137637954512e-15	2.09864303889831e-11
"MSTRG.14355.8"	11.5655047163477	3.45334172226067	4.85768888119508e-15	2.09864303889831e-11
"KWMTBOMO09877.mrna1"	-3.74665961517867	8.28223401321261	1.71275430964164e-13	6.83033243651933e-10
"MSTRG.10213.1"	-11.4952896994381	6.71395151506835	3.65084325917249e-13	1.35193333632342e-09
"MSTRG.12158.2"	7.04877960163666	3.46069533555154	4.14490204569709e-13	1.43256104503383e-09
"MSTRG.6585.3"	-12.5171367632115	4.39757689537919	5.82473356731243e-13	1.88732288956361e-09
"MSTRG.16877.3"	-5.10050800604344	5.32809436759922	7.59607760442703e-13	2.31649088968418e-09
"MSTRG.13024.11"	10.8094397679334	2.70739717982798	9.63282444585366e-13	2.77441398747995e-09
"MSTRG.9415.10"	-11.4367322737662	3.32561764082921	1.11059304065192e-12	3.03034078981672e-09
"MSTRG.10214.1"	-10.6657316832584	6.2286809006001	4.5086087082109e-12	1.16869900629889e-08
"MSTRG.6585.21"	-15.405631311559	7.27960666472612	1.21516563120343e-11	2.99989675326093e-08
"MSTRG.2256.1"	-10.5042193518454	2.40728781448512	2.50293650506093e-11	5.89816987417609e-08
"MSTRG.14863.1"	3.58735890503298	9.83550214700948	4.44036629512896e-11	1.00087786886248e-07
"MSTRG.7340.3"	-3.94494253037505	6.11051822433176	5.99494594360891e-11	1.29498326064382e-07
"KWMTBOMO12019.mrna1"	-3.28675582455919	5.98670601049949	6.30816246164858e-11	1.30813626599699e-07
"MSTRG.3772.3"	10.5259032200872	2.42922306416505	1.6991529845913e-10	3.38804569923717e-07
"MSTRG.2467.5"	-10.8748794170385	2.7711145377197	3.83136553598058e-10	7.35664753636448e-07
"MSTRG.636.5"	10.524980782096	2.42827990201179	5.04398300319698e-10	9.33911467266932e-07
"MSTRG.6053.3"	10.5744766861314	2.4768092553352	1.01000563391537e-09	1.80557662341636e-06
"MSTRG.16877.1"	-3.98644194492653	8.2210929265198	1.59716501395673e-09	2.76006086061862e-06
"MSTRG.1839.1"	10.0229358234036	1.93871464846705	2.73279009318127e-09	4.57019473550957e-06
"MSTRG.3094.5"	-10.0739004449801	1.98746912358918	3.31907386523399e-09	5.37721082485393e-06
"MSTRG.2595.9"	-8.11231978522463	4.00738605947769	4.11193341729698e-09	6.45984739857355e-06
"MSTRG.10430.1"	-2.70427533457191	7.50969870810232	4.41567491093273e-09	6.73299512963193e-06
"MSTRG.19940.1"	-2.54932492963968	7.47190937385944	6.28328289827291e-09	9.30697815129035e-06
"MSTRG.14508.6"	10.0670663688724	1.98156744456216	7.47243845964573e-09	1.07609340850948e-05
"MSTRG.1255.3"	6.46884167111559	2.50780971943592	1.0766218388107e-08	1.508521783499e-05
"MSTRG.19168.8"	10.3486496550493	2.25589937039075	1.14761585138305e-08	1.56568022587504e-05
"KWMTBOMO12748.mrna1"	-4.58099142304765	5.82107432196223	1.27824540344291e-08	1.69918144745362e-05
"KWMTBOMO01265.mrna1"	-7.25973950963256	2.32312770189432	1.33404958083813e-08	1.72902831048478e-05
"MSTRG.16133.1"	9.94137849038698	1.85957276363389	1.50902626195002e-08	1.87269605586378e-05
"MSTRG.2475.6"	3.24183255635339	5.50567049793982	1.52978659125232e-08	1.87269605586378e-05
"KWMTBOMO06334.mrna1"	-7.93158336637777	9.55203587409206	1.55326525089486e-08	1.87269605586378e-05
"MSTRG.7997.1"	-4.2313535494928	3.91581014789818	1.79262603969649e-08	2.11216163127239e-05
"KWMTBOMO04254.mrna1"	-4.31659078116881	3.40321320703343	2.47217535973502e-08	2.84811082610539e-05
"KWMTBOMO11071.mrna1"	3.1253676550442	6.34677206037201	2.62257403480614e-08	2.95569794970554e-05
"MSTRG.17061.4"	-3.12595001334876	8.04150293247254	3.72925207778444e-08	4.11352373337402e-05
"MSTRG.8926.3"	3.2048921047381	6.39108786343172	5.36512336306197e-08	5.79466855231712e-05
"MSTRG.2627.1"	-7.32984202258111	8.6169766836138	5.5967787589525e-08	5.92150614694642e-05
