"logFC"	"logCPM"	"PValue"	"FDR"
"MSTRG.14927.15"	-21.3531603533348	13.0443983820986	1.40679658192046e-87	7.29325551965026e-83
"KWMTBOMO01001.mrna1"	-19.3453788187025	13.1998182020471	2.77060714502225e-81	7.18182931096942e-77
"MSTRG.14927.17"	-14.518622005001	11.2384437909423	2.29926291955284e-76	3.97335625127927e-72
"KWMTBOMO08464.mrna1"	-16.7423796648848	14.4143719157324	1.97805332090942e-74	2.56370545789768e-70
"KWMTBOMO00973.mrna1"	-18.9502621410856	10.6415833578094	4.04317366162507e-73	4.19220504279257e-69
"MSTRG.14927.5"	-16.2881107345823	10.3122022718559	1.89331895131289e-71	1.6359222398819e-67
"MSTRG.15604.2"	19.3061594567335	10.9974337268641	2.38160789966136e-71	1.7638528334592e-67
"MSTRG.14927.20"	-18.3574125330402	10.0487862580887	7.00204412464539e-71	4.53758716942489e-67
"MSTRG.14927.8"	-18.3230594503124	10.0144361066405	8.90190454694648e-71	5.12779374919274e-67
"MSTRG.10154.1"	-17.3220148054558	11.1964047799639	2.41118156107808e-67	1.25002885670971e-63
"MSTRG.4946.1"	17.0860897663967	8.77758062003121	1.3417537172404e-65	5.81931748715799e-62
"MSTRG.14927.13"	-17.4550429846461	9.14655096122584	1.34698628254337e-65	5.81931748715799e-62
"KWMTBOMO15198.mrna1"	-16.6708207045157	10.5254586156273	4.80076558414177e-64	1.91450838598971e-60
"MSTRG.14927.23"	-17.2592720356354	8.95082251389703	1.24983369671439e-63	4.62822345276888e-60
"MSTRG.6687.20"	17.4283123106241	9.11972950789175	2.48731671025217e-62	8.59666401397354e-59
"MSTRG.18381.4"	-12.2807807896629	9.34884865737078	1.67005173849049e-60	5.41128076741017e-57
"MSTRG.8088.1"	16.6195613113953	8.31117170657257	8.58075002690157e-60	2.61677543320387e-56
"MSTRG.10317.6"	17.9395681861523	9.6309498309974	1.12355773866363e-58	3.23603354697437e-55
"MSTRG.14927.22"	-16.3782173719227	8.07004587711546	8.80847868558564e-58	2.40346294998324e-54
"MSTRG.19504.2"	-12.1063517735748	9.69710806040541	2.37034766159046e-56	6.14429669099171e-53
"KWMTBOMO02542.mrna1"	-17.2107406749781	8.90230425789015	9.80141186102227e-56	2.41968854814751e-52
"KWMTBOMO03803.mrna1"	13.5520805653554	7.66753569668864	1.08691039740457e-54	2.56130435148386e-51
"MSTRG.14927.11"	-15.78728962831	7.47942658389827	2.4028186316964e-54	5.41605766621898e-51
"KWMTBOMO09128.mrna1"	10.5811638016749	9.39482233482373	5.10848272645023e-54	1.10349612494733e-50
"MSTRG.14581.4"	15.473565756313	7.16561650269201	1.93400764385746e-53	4.0105903312201e-50
"MSTRG.22027.2"	15.5725830813514	7.26456211490333	3.41395147070878e-53	6.80728792676751e-50
"KWMTBOMO05873.mrna1"	11.655460324919	8.10562402782955	3.78243906324833e-53	7.26270327244382e-50
"MSTRG.14561.4"	-16.0372167647358	7.72920824357519	1.82614985288094e-52	3.38118167224667e-49
"KWMTBOMO05606.mrna1"	9.32402791974865	8.94979562195314	5.05936709539141e-52	9.04457821815092e-49
"KWMTBOMO01973.mrna1"	8.83693354970064	11.4040408460285	5.47436514126958e-52	9.46025040062797e-49
"KWMTBOMO06450.mrna1"	9.63582938766806	8.9370041616472	1.88399469191256e-51	3.15070763912332e-48
"MSTRG.5824.2"	15.2595662605835	6.95176136661913	3.68327911130873e-51	5.96725746773683e-48
"KWMTBOMO00238.mrna1"	9.23453158393434	11.5041992834409	2.89234202342004e-50	4.54386931879288e-47
"KWMTBOMO01975.mrna1"	8.66730865566032	12.0381563751913	5.42215585752704e-50	8.26767135652278e-47
"MSTRG.14927.16"	-13.7824398047845	10.0674969672937	5.91542464910524e-50	8.76209600238751e-47
"KWMTBOMO01155.mrna1"	9.41013040742926	9.1037279422217	8.6118811890691e-50	1.24018265690253e-46
"MSTRG.12345.8"	-11.7891535904908	7.26937279699226	2.26368175082702e-49	3.17178521643581e-46
"MSTRG.14927.6"	-15.1422429536498	6.83489797414299	4.16450040076014e-49	5.68158405991074e-46
"KWMTBOMO07359.mrna1"	12.3275578735348	9.24420028927522	5.32684334855214e-48	7.08101383894843e-45
"KWMTBOMO03172.mrna1"	9.24724196820869	10.1389916845704	9.35257486051563e-48	1.21216384623428e-44
"MSTRG.20293.3"	12.2949751839093	6.89381011410262	1.15753052001922e-47	1.46365499388674e-44
"MSTRG.21697.1"	8.87902971052831	9.40253285583586	1.25380100324375e-47	1.54763822407538e-44
"MSTRG.13451.2"	10.8994278412423	9.2321759908542	1.43949307319025e-47	1.73552649752098e-44
"KWMTBOMO08068.mrna1"	12.8391035497673	6.94594843223265	1.73075692477058e-47	1.99867636075354e-44
"MSTRG.20515.1"	-16.6183068340841	8.31003928116252	1.7348617216193e-47	1.99867636075354e-44
"KWMTBOMO06150.mrna1"	9.28275644735316	9.57865126625603	2.81891265049609e-47	3.17697583781888e-44
"KWMTBOMO06928.mrna1"	14.7433549234123	6.4359310935515	2.93666249030148e-47	3.23926369116383e-44
"MSTRG.14561.3"	-15.4929432888348	7.18528882572264	5.84941499029602e-47	6.3177337779566e-44
"MSTRG.16248.1"	10.3033030364636	7.67463618965041	1.15638411446404e-46	1.22347799277876e-43
"MSTRG.15514.2"	12.388327675911	8.40876245103726	1.60509394152651e-46	1.66425770421118e-43
"MSTRG.9179.2"	9.26703192012552	7.64600479215487	1.77262270930621e-46	1.8019231199718e-43
"MSTRG.9179.1"	9.59647922507028	7.80167007091379	2.42371646855913e-46	2.41639870922137e-43
"MSTRG.10109.1"	-13.2721031276331	7.92172506596437	4.83995122926284e-46	4.73429418072969e-43
"MSTRG.7182.3"	14.7177752409938	6.41034184886504	5.43706278238677e-46	5.21988233013476e-43
"MSTRG.12764.3"	14.6090581141108	6.30180722297114	6.40765414990895e-46	6.03985480170418e-43
"MSTRG.19211.1"	-14.9689344815112	6.66176318781061	8.19556621893042e-46	7.5871917765716e-43
"KWMTBOMO08724.mrna1"	-12.7972820727658	6.67231490527554	1.03209841305399e-45	9.38720667157158e-43
"KWMTBOMO00248.mrna1"	9.95122881175086	6.88482052015219	1.05685479263471e-45	9.44664189906226e-43
"KWMTBOMO07015.mrna1"	14.6487565446611	6.34141861416399	2.78684564693006e-45	2.44878709955585e-42
"KWMTBOMO12856.mrna1"	14.5770285511593	6.26983696782125	8.21928673702829e-45	7.1018747051293e-42
"MSTRG.19664.1"	-12.8356926907553	8.5302287380531	9.61581394106884e-45	8.1723383958497e-42
"KWMTBOMO14919.mrna1"	10.0849332942253	7.49382347318234	1.40726447365993e-44	1.1767227759347e-41
"KWMTBOMO13751.mrna1"	9.20849427064666	8.02170455987657	1.73898448055443e-44	1.43101860992672e-41
"MSTRG.14927.21"	-14.6798548828347	6.373055329188	2.36348166016878e-44	1.91453093293954e-41
"MSTRG.21602.1"	9.25803738847137	8.49403281469922	2.44806913026355e-44	1.95254227569621e-41
"MSTRG.18378.5"	10.1893674053544	7.60533639204182	8.15006709139006e-44	6.40187770028689e-41
"MSTRG.15506.5"	9.39366224500015	6.71343008897521	1.29311008011948e-43	1.00057769975573e-40
"KWMTBOMO12957.mrna1"	10.3762119854549	7.29837581022928	1.48806749118901e-43	1.13449827861341e-40
"MSTRG.7182.4"	14.6566696687906	6.34926922447147	1.81731726373608e-43	1.3654373754184e-40
"KWMTBOMO13319.mrna1"	-14.5223296626144	6.2157555972674	2.13461668674759e-43	1.58092761272936e-40
"MSTRG.8946.5"	-14.5719717405255	6.26530857930844	3.18988898176634e-43	2.32920302086919e-40
"KWMTBOMO13619.mrna1"	-10.8963594278061	7.29487339463987	3.67953021022872e-43	2.64941506512344e-40
"KWMTBOMO11302.mrna1"	8.51652149432787	7.88971090894922	4.00761707070674e-43	2.84612180543355e-40
"MSTRG.12738.1"	9.31861811510502	9.83410708963572	5.77455436150301e-43	4.04554353734325e-40
"MSTRG.18515.4"	14.423096817196	6.11596462166945	5.96905822296382e-43	4.12605180604151e-40
"KWMTBOMO16144.mrna1"	-12.3388429462749	7.61094218528927	6.32557060043407e-43	4.31495469260926e-40
"MSTRG.1192.2"	8.81056224827843	7.39801731802268	8.11442919833961e-43	5.46332925882494e-40
"KWMTBOMO05338.mrna1"	9.03510680684994	7.21109502232112	1.16836197102693e-42	7.76556277742935e-40
"KWMTBOMO13453.mrna1"	11.5079006194148	6.45577598467227	1.21627268207967e-42	7.98167400722235e-40
"MSTRG.9613.1"	-14.9076291988871	6.60052739921763	1.5329709159175e-42	9.93422639923889e-40
"MSTRG.12738.2"	14.3717225765938	6.06478746482684	1.64295895260524e-42	1.05155457999893e-39
"KWMTBOMO06428.mrna1"	10.0258485930393	7.11079778775277	1.70814206761638e-42	1.07994157574922e-39
"KWMTBOMO11646.mrna1"	8.5835889814751	7.01411590170942	2.09967150756754e-42	1.31148518032318e-39
"MSTRG.6680.1"	10.2282388948641	7.22265879046813	4.79721822941785e-42	2.96074029366321e-39
"MSTRG.2034.2"	10.5046620498943	6.83105449704326	8.59893873911301e-42	5.24464448296277e-39
"MSTRG.10122.2"	-15.7486733067373	7.44083104665207	8.94537018141778e-42	5.39249798040979e-39
"KWMTBOMO10272.mrna1"	11.1459407897549	6.10765540231382	1.03604450930439e-41	6.1737535052721e-39
"MSTRG.12332.8"	12.3192793144283	7.98607417730903	1.05392862838176e-41	6.20895703195405e-39
"KWMTBOMO02807.mrna1"	7.5582526951156	10.080923978327	1.10193410746136e-41	6.41882808237297e-39
"MSTRG.10297.3"	14.1880036829102	5.88129438975641	1.26966802763653e-41	7.31371106186232e-39
"KWMTBOMO11889.mrna1"	11.5137787363669	7.01346754750811	1.51286850619612e-41	8.61886175458523e-39
"MSTRG.12756.5"	14.2151388818776	5.90837627960973	1.55046711446401e-41	8.73705071903886e-39
"KWMTBOMO03303.mrna1"	8.2650349483835	8.2910048996851	1.66383230385006e-41	9.27506001381707e-39
"KWMTBOMO10584.mrna1"	8.79853162983268	6.57923790162076	2.41656344634991e-41	1.33278615690551e-38
"MSTRG.3695.2"	7.66827917829758	8.30561817710892	2.49149276527951e-41	1.35964694137248e-38
"MSTRG.14927.9"	-14.2185708798269	5.91250320138556	3.28033409236978e-41	1.77148292032007e-38
"MSTRG.14040.2"	14.2035135712637	5.89678160257691	3.65838635296891e-41	1.95527550203059e-38
"MSTRG.6752.2"	8.5843468398485	9.9937706236073	3.98577656926362e-41	2.10851647632994e-38
"KWMTBOMO12696.mrna1"	-15.2540050998423	6.94653779078775	4.77398444888609e-41	2.49997652306668e-38
"MSTRG.9162.2"	10.2766691161729	6.45946073975959	6.83912136257376e-41	3.54560568799911e-38
"KWMTBOMO03349.mrna1"	9.35650537815027	6.83165123871228	8.05225080548872e-41	4.13319642088071e-38
"MSTRG.15876.13"	-14.5702202042021	6.26357878659899	8.26915641880671e-41	4.20292035509996e-38
"MSTRG.3509.1"	10.7170109897718	7.25070949402229	1.04969441911329e-40	5.28342793884371e-38
"KWMTBOMO03961.mrna1"	7.51055040360599	8.31293486261143	1.21055847243056e-40	6.03451758521321e-38
"MSTRG.4023.1"	14.3892346846045	6.08213172596176	1.24799104141967e-40	6.1618666247924e-38
"MSTRG.19071.1"	14.0139629178583	5.70744025755735	1.31989350279105e-40	6.45539989294304e-38
"KWMTBOMO11932.mrna1"	10.5571765149633	6.98562130079767	1.39897836434034e-40	6.77824629369126e-38
"MSTRG.18381.6"	-11.9023715516227	7.90542954666775	2.19626282235326e-40	1.05426716203018e-37
"KWMTBOMO00340.mrna1"	7.56600450448811	11.8247040214991	2.70454242583891e-40	1.28634488975015e-37
"KWMTBOMO08849.mrna1"	9.39254487512609	8.94429395490109	2.8217346060121e-40	1.3298835198135e-37
"MSTRG.14011.2"	10.1921591460518	7.14625417443018	2.9490581443268e-40	1.37736956194896e-37
"KWMTBOMO15365.mrna1"	-14.1399052817041	5.8340011388615	3.21102460470542e-40	1.48633168376556e-37
"KWMTBOMO13988.mrna1"	8.35804208799742	6.67855784854536	3.27033124566441e-40	1.50038745813257e-37
"MSTRG.8972.1"	12.4414845209946	5.79737522904975	4.02293317484141e-40	1.82948179459038e-37
"MSTRG.14562.2"	-14.1655440140773	5.85957193340192	4.12597413038696e-40	1.86002501601436e-37
"MSTRG.15923.1"	11.9702624984628	5.7054033595314	7.67647664050988e-40	3.43078946960305e-37
"KWMTBOMO00039.mrna1"	10.8981698405783	7.19358111964794	1.32138512437065e-39	5.81174481158707e-37
"KWMTBOMO00650.mrna1"	11.1045503588037	7.66915682858931	1.3228128923235e-39	5.81174481158707e-37
"MSTRG.18566.3"	10.0703372683952	7.47928962301149	1.66555279710518e-39	7.1957010683529e-37
"KWMTBOMO07577.mrna1"	10.6647583586556	5.91061034455457	1.66557515614904e-39	7.1957010683529e-37
"MSTRG.18327.1"	-14.2014604347171	5.89544190360083	1.75971591631702e-39	7.53958283054737e-37
"MSTRG.7000.3"	9.28699949798547	6.87298131732275	1.95619523699961e-39	8.31270735014513e-37
"MSTRG.18624.1"	13.9921117263392	5.68568694665778	1.97517297344556e-39	8.32511320832018e-37
"KWMTBOMO01814.mrna1"	11.008159417505	6.24862057100375	2.03948207753629e-39	8.52684430207372e-37
"KWMTBOMO05102.mrna1"	-11.2415775731925	5.949262643674	2.24496792825207e-39	9.31086978434977e-37
"KWMTBOMO08355.mrna1"	11.4214346966607	6.9212249392407	2.57833417349845e-39	1.05410639140268e-36
"MSTRG.14729.1"	8.99395780650726	6.94491188796927	2.58224855251703e-39	1.05410639140268e-36
"MSTRG.15865.1"	-11.3558469429026	6.02711066384852	2.83630304258536e-39	1.14876920809963e-36
"KWMTBOMO01802.mrna1"	-8.80649492583708	6.62438842183345	3.11901087244016e-39	1.2534796950381e-36
"KWMTBOMO16331.mrna1"	8.71941333981516	7.92416352733033	4.06894693097297e-39	1.62266473648025e-36
"MSTRG.15509.1"	10.0881762075754	6.53928467521975	5.17077632881984e-39	2.04632486423669e-36
"KWMTBOMO03710.mrna1"	9.9830367301409	6.34794586083378	5.33945373546919e-39	2.09707045460552e-36
"KWMTBOMO05616.mrna1"	10.152681591355	8.10603122053121	5.87009003193408e-39	2.28814344004179e-36
"MSTRG.19340.1"	8.55823954955159	7.39366752656442	6.512033059875e-39	2.51942783524701e-36
"MSTRG.15509.2"	9.66837218896045	8.21223866604731	6.78875520994266e-39	2.60703286184487e-36
"MSTRG.10566.4"	14.5501331694795	6.24282797927767	1.11232577758289e-38	4.24016950641395e-36
"KWMTBOMO15653.mrna1"	11.6057228109905	5.70384436902135	1.24051383560144e-38	4.69430356051717e-36
"KWMTBOMO13850.mrna1"	9.89850670985524	7.23189074453271	1.28016998372134e-38	4.80926467145403e-36
"MSTRG.8869.12"	13.9123234992724	5.60594455438555	1.35831657686115e-38	5.06612994922391e-36
"MSTRG.14916.1"	-8.50244755936264	6.85456974878526	2.38338369877638e-38	8.82584007826172e-36
"MSTRG.3409.2"	7.5283130741397	10.6924078384268	2.814153534722e-38	1.03471036667087e-35
"KWMTBOMO15299.mrna1"	9.54396051319445	6.48665683869271	2.8649747686643e-38	1.04597807698495e-35
"KWMTBOMO06741.mrna1"	7.15864113615285	8.00045267907627	3.28240345642629e-38	1.18999749924132e-35
"MSTRG.8358.1"	13.8527316367866	5.5465394410879	3.62057382748413e-38	1.30348200651569e-35
"MSTRG.19179.2"	8.76806206116497	9.26915689147432	3.7599326489765e-38	1.34431854014406e-35
"KWMTBOMO08135.mrna1"	9.65365683923456	9.24885309617587	3.82118250040159e-38	1.35686002992e-35
"MSTRG.1250.2"	-14.3185499817231	6.01232183689767	4.172593044521e-38	1.47156286535444e-35
"KWMTBOMO03955.mrna1"	9.58952153080034	6.14196861744562	5.20224046837921e-38	1.82229562569043e-35
"MSTRG.14561.2"	-15.6675068573104	7.35972170130356	5.25701121443935e-38	1.82912236503476e-35
"MSTRG.11048.5"	-13.9339879449925	5.62850794777337	5.71596018287769e-38	1.97555015840619e-35
"KWMTBOMO02235.mrna1"	8.40896992582973	7.84580576139779	6.95637022114207e-38	2.38833841969979e-35
"KWMTBOMO07599.mrna1"	9.01608289838411	9.26642556569815	9.68427702403029e-38	3.30303930103159e-35
"MSTRG.15506.4"	9.73914473816428	6.7831879385691	1.18589894937268e-37	4.01833720472729e-35
"MSTRG.171.1"	10.7081026349986	7.90348392443755	1.56178915270408e-37	5.25765162621024e-35
"KWMTBOMO12650.mrna1"	10.2882567294099	7.84090729709903	1.6177393413033e-37	5.41086843039917e-35
"KWMTBOMO05865.mrna1"	9.75565854918647	6.17897616593375	1.63860576208122e-37	5.4455281104857e-35
"MSTRG.14927.14"	-13.8720486656459	5.56672563051277	2.28191255883219e-37	7.53510782086224e-35
"KWMTBOMO02547.mrna1"	10.4061458058777	7.39067293461044	2.54718012850794e-37	8.35781388621754e-35
"KWMTBOMO05860.mrna1"	10.9776671247484	6.24502737442462	2.66753668108523e-37	8.6976795067611e-35
"MSTRG.8565.7"	14.1313587596371	5.82467930871248	2.75139254903301e-37	8.91502774496991e-35
"KWMTBOMO03709.mrna1"	9.83986100824325	8.4974693534601	3.0839239112853e-37	9.93042654240768e-35
"MSTRG.2399.2"	9.70067605462688	6.46551864135015	3.67680414757446e-37	1.17664541618952e-34
"KWMTBOMO10309.mrna1"	10.6366012833445	5.96328222456722	5.0982252341785e-37	1.62151712156758e-34
"KWMTBOMO15707.mrna1"	10.3126695205681	6.47997385848694	5.80840890423821e-37	1.83613013916111e-34
"KWMTBOMO07178.mrna1"	9.43076403716863	6.68237632115552	6.00082436958874e-37	1.88043319179648e-34
"MSTRG.20872.1"	11.0481357869485	5.6337657863363	6.02110043473981e-37	1.88043319179648e-34
"KWMTBOMO05498.mrna1"	10.5032277840706	7.64719465048042	6.51483002360109e-37	2.02244510726677e-34
"MSTRG.12936.1"	10.5239217354336	7.20295901166832	6.7252634956499e-37	2.07534425836296e-34
"KWMTBOMO02396.mrna1"	9.9124325042229	6.46403174721657	7.5821014373203e-37	2.32591056103548e-34
"KWMTBOMO05348.mrna1"	10.3340145094988	10.0468630065208	9.0520560051001e-37	2.76050434983767e-34
