Name	rcount_Tb142_quant	rcount_Tb143_quant	rcount_Tb144_quant	rcount_Tb145_quant	rcount_Tb146_quant	rcount_Tb147_quant
MSTRG.1.1	8.864	16.216	38.722	33.244	21.518	51.841
KWMTBOMO16472.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.5.1	16.108	21.463	17.365	12.017	8.892	23.454
MSTRG.2.1	0.000	2.357	0.000	0.000	0.000	0.000
MSTRG.4.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16473.mrna1	0.000	0.000	1.000	0.000	0.000	0.000
MSTRG.6.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.4	0.000	0.000	2.002	0.000	0.000	1.000
MSTRG.6.2	0.000	0.000	2.082	0.000	0.000	0.000
MSTRG.6.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.5	0.000	5.015	4.489	8.832	4.059	7.002
MSTRG.6.6	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16474.mrna1	0.000	1.000	0.000	0.000	0.000	1.000
MSTRG.7.1	3.409	1.433	8.166	4.757	2.003	2.494
MSTRG.7.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.7.3	0.000	1.920	2.812	0.000	0.000	0.000
MSTRG.8.1	33.767	93.747	260.745	145.697	86.414	0.000
MSTRG.8.2	1309.515	1725.326	1689.264	498.097	361.140	810.286
KWMTBOMO16475.mrna1	149.785	232.853	259.731	67.207	65.443	128.086
MSTRG.9.1	0.000	20.214	0.000	0.000	30.332	12.838
MSTRG.9.2	0.000	0.000	0.000	18.790	0.000	0.000
MSTRG.9.3	41.561	74.015	87.936	76.304	21.668	89.410
KWMTBOMO16476.mrna1	24.342	0.000	17.032	0.000	0.000	0.000
MSTRG.9.5	23.497	0.000	19.409	0.000	0.000	0.000
MSTRG.9.6	0.000	0.000	0.000	0.000	0.000	4.050
KWMTBOMO16477.mrna1	11.227	12.771	11.623	7.802	0.000	9.954
MSTRG.11.1	0.000	0.000	0.000	1.947	0.000	0.000
MSTRG.12.1	677.646	446.358	696.463	190.678	347.817	408.203
MSTRG.12.2	0.000	0.000	170.656	0.000	0.000	147.660
MSTRG.12.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.4	0.000	27.491	134.010	0.000	20.730	23.801
MSTRG.12.6	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.3	226.767	340.097	561.659	542.510	427.980	538.547
MSTRG.12.7	0.000	0.000	0.000	0.000	0.000	31.909
MSTRG.12.8	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.9	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.10	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.11	0.000	0.000	0.000	12.485	0.000	0.000
MSTRG.12.12	85.868	306.020	0.000	191.764	13.005	0.000
KWMTBOMO16478.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16479.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.10.1	6.883	10.338	26.187	53.445	40.154	57.367
MSTRG.13.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.13.2	0.000	0.000	2.390	0.000	0.000	0.000
KWMTBOMO16480.mrna1	244.000	312.026	264.844	297.001	196.000	298.000
MSTRG.14.1	28.487	73.555	76.906	14.009	12.456	43.162
KWMTBOMO16481.mrna1	0.000	0.000	148.465	0.000	0.000	0.000
MSTRG.15.2	2880.262	3884.586	4271.300	3793.324	2796.708	5706.419
MSTRG.15.3	125.837	65.273	154.544	94.546	100.059	116.865
MSTRG.16.1	8.855	8.164	6.968	3.605	9.419	5.093
MSTRG.21.1	7.246	5.909	2.485	136.635	73.824	57.941
MSTRG.21.2	0.000	0.000	6.836	34.686	0.000	0.000
KWMTBOMO16482.mrna1	6.000	10.000	20.942	18.000	16.000	14.000
MSTRG.21.3	5.710	7.439	40.610	0.000	0.000	14.127
MSTRG.21.4	2.121	1.814	1.780	0.000	0.000	0.000
KWMTBOMO16483.mrna1	0.000	0.000	5.828	0.000	5.078	0.000
MSTRG.21.6	2.502	11.252	8.275	0.000	6.215	2.198
MSTRG.21.7	50.429	57.579	39.185	49.679	38.883	71.735
KWMTBOMO16484.mrna1	17192.390	29379.490	26469.632	40.000	43.000	79.000
MSTRG.19.1	2.652	0.000	0.000	0.000	0.000	0.000
MSTRG.20.1	0.000	5.279	2.341	0.000	0.000	0.000
MSTRG.17.1	1.001	1.003	6.593	1.058	0.000	1.618
KWMTBOMO16485.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16486.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16487.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16488.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16489.mrna1	0.000	2.000	0.000	1.000	0.000	0.000
KWMTBOMO16490.mrna1	0.000	1.107	0.000	2.220	2.138	0.000
KWMTBOMO16491.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.23.1	14.719	13.823	18.517	10.976	11.850	10.994
MSTRG.24.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16492.mrna1	0.000	0.000	1.000	0.000	1.000	0.000
KWMTBOMO16493.mrna1	0.000	2.708	1.168	0.000	2.117	2.189
MSTRG.27.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16494.mrna1	0.000	0.000	0.000	5.594	0.000	0.000
KWMTBOMO16495.mrna1	329.880	414.403	417.056	11.619	4.693	15.928
