Name	rcount_Tb160_quant	rcount_Tb161_quant	rcount_Tb162_quant	rcount_Tb163_quant	rcount_Tb164_quant	rcount_Tb165_quant
MSTRG.1.1	5.032	16.754	22.679	26.841	27.369	31.212
KWMTBOMO16472.mrna1	4.000	21.000	12.000	1582.432	1613.230	1478.862
MSTRG.5.1	5.144	10.313	11.999	194.667	155.747	121.076
MSTRG.2.1	0.000	0.000	0.000	0.000	0.000	12.718
MSTRG.4.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16473.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.3	0.000	0.000	0.995	0.000	0.000	0.000
MSTRG.6.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.5	1.496	10.680	2.495	5.001	2.703	0.000
MSTRG.6.6	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16474.mrna1	0.000	0.000	0.000	0.000	0.000	2.000
MSTRG.7.1	3.562	0.000	1.000	0.000	1.247	3.001
MSTRG.7.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.7.3	0.000	1.000	0.000	0.000	0.000	0.000
MSTRG.8.1	19.135	67.511	35.647	158.160	225.582	123.276
MSTRG.8.2	948.126	917.941	1079.616	4523.674	3584.228	3666.269
KWMTBOMO16475.mrna1	131.533	131.789	202.004	347.696	452.049	742.653
MSTRG.9.1	21.346	5.476	0.000	0.000	0.000	0.000
MSTRG.9.2	0.000	0.000	0.000	46.832	21.227	47.001
MSTRG.9.3	9.561	29.120	47.725	47.369	55.649	55.020
KWMTBOMO16476.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.9.5	18.093	0.000	0.000	0.000	0.000	0.000
MSTRG.9.6	0.000	0.000	6.275	0.000	0.000	9.867
KWMTBOMO16477.mrna1	0.000	5.404	0.000	11.107	12.865	0.000
MSTRG.11.1	3.992	1.954	0.000	0.000	0.000	1.000
MSTRG.12.1	79.316	56.122	0.000	174.609	148.767	280.384
MSTRG.12.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.5	0.000	17.371	0.000	51.186	0.000	0.000
MSTRG.12.4	0.000	0.000	0.000	17.438	0.000	19.911
MSTRG.12.6	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.3	32.968	81.232	139.716	86.531	161.951	308.592
MSTRG.12.7	0.000	0.000	0.000	14.457	0.000	0.000
MSTRG.12.8	0.000	0.000	0.000	0.000	0.000	0.000
