Name	rcount_Tb148_quant	rcount_Tb149_quant	rcount_Tb150_quant	rcount_Tb151_quant	rcount_Tb152_quant	rcount_Tb153_quant
MSTRG.1.1	4.916	9.293	29.215	18.637	26.963	42.870
KWMTBOMO16472.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.5.1	11.014	9.338	18.447	9.448	9.614	23.485
MSTRG.2.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.4.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16473.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.5	0.000	10.604	5.163	0.000	6.150	10.147
MSTRG.6.6	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16474.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.7.1	1.000	2.000	3.391	3.000	3.984	8.000
MSTRG.7.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.7.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.8.1	32.742	228.275	76.392	92.372	162.523	0.000
MSTRG.8.2	717.748	922.762	914.186	980.887	1119.667	969.985
KWMTBOMO16475.mrna1	79.510	147.337	144.718	102.362	139.147	155.579
MSTRG.9.1	32.912	0.000	46.700	0.000	43.381	0.000
MSTRG.9.2	0.000	15.648	0.000	0.000	0.000	25.055
MSTRG.9.3	67.756	51.864	57.429	109.311	38.750	82.121
KWMTBOMO16476.mrna1	0.000	0.000	14.937	0.000	0.000	0.000
MSTRG.9.5	0.000	0.000	0.000	0.000	9.177	0.000
MSTRG.9.6	17.924	15.942	0.000	9.751	0.000	0.000
KWMTBOMO16477.mrna1	0.000	4.545	0.000	12.938	11.691	9.219
MSTRG.11.1	3.915	0.000	0.988	0.000	0.000	0.000
MSTRG.12.1	733.549	812.663	627.562	790.827	549.343	673.729
MSTRG.12.2	0.000	133.286	0.000	0.000	0.000	0.000
MSTRG.12.5	0.000	0.000	0.000	0.000	37.030	0.000
MSTRG.12.4	0.000	0.000	0.000	0.000	0.000	25.095
MSTRG.12.6	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.3	519.736	668.850	690.232	542.614	342.786	513.465
MSTRG.12.7	0.000	0.000	0.000	15.358	0.000	0.000
MSTRG.12.8	0.000	34.129	0.000	0.000	0.000	0.000
MSTRG.12.9	0.000	0.000	0.000	0.000	22.000	0.000
MSTRG.12.10	60.111	0.000	0.000	0.000	0.000	0.000
MSTRG.12.11	0.000	0.000	0.000	0.000	0.000	14.326
MSTRG.12.12	69.615	0.000	108.812	254.482	378.359	296.405
KWMTBOMO16478.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16479.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.10.1	11.129	22.223	40.385	23.050	10.925	35.566
MSTRG.13.1	0.000	0.000	0.000	0.000	4.923	0.000
MSTRG.13.2	2.157	0.000	0.000	0.000	0.000	1.954
KWMTBOMO16480.mrna1	550.843	442.078	490.041	611.168	633.876	448.054
MSTRG.14.1	15.137	32.999	33.619	33.796	28.407	32.318
KWMTBOMO16481.mrna1	0.000	0.000	166.108	0.000	0.000	0.000
MSTRG.15.2	5454.188	6414.915	6458.293	6507.491	7266.645	6648.985
MSTRG.15.3	220.359	244.023	296.209	226.800	234.371	358.082
MSTRG.16.1	8.545	6.044	2.242	9.471	5.101	5.531
MSTRG.21.1	8.169	6.289	18.583	10.165	16.111	6.121
MSTRG.21.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16482.mrna1	20.001	9.000	20.000	10.000	16.000	29.041
MSTRG.21.3	11.057	3.700	5.916	7.356	2.823	3.661
MSTRG.21.4	3.360	0.000	0.000	14.222	2.580	1.541
KWMTBOMO16483.mrna1	0.000	0.000	0.000	0.000	0.000	1.920
MSTRG.21.6	32.335	11.695	23.126	8.938	9.568	11.946
MSTRG.21.7	21.079	44.316	27.375	16.319	43.918	35.811
KWMTBOMO16484.mrna1	71.000	80.000	144.000	222.000	166.000	295.898
MSTRG.19.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20.1	0.000	0.000	2.933	0.000	0.000	0.000
MSTRG.17.1	3.027	0.000	2.261	6.372	4.158	6.265
KWMTBOMO16485.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16486.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16487.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
