Name	rcount_Tb154_quant	rcount_Tb155_quant	rcount_Tb156_quant	rcount_Tb157_quant	rcount_Tb158_quant	rcount_Tb159_quant
MSTRG.1.1	24.720	24.895	37.369	8.433	1.386	8.401
KWMTBOMO16472.mrna1	0.000	0.000	0.000	17.000	0.000	0.000
MSTRG.5.1	3.992	2.369	4.926	14.863	1.066	1.867
MSTRG.2.1	1.793	0.000	9.530	0.000	0.000	0.000
MSTRG.4.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16473.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.3	0.000	0.000	0.000	0.000	0.000	2.000
MSTRG.6.4	0.000	0.927	0.000	0.000	0.000	0.000
MSTRG.6.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.5	0.000	0.000	4.994	0.000	0.000	10.429
MSTRG.6.6	0.000	0.000	0.000	1.000	0.000	0.000
KWMTBOMO16474.mrna1	0.000	0.000	0.000	1.000	0.000	0.000
MSTRG.7.1	0.000	2.001	2.511	0.000	0.000	0.000
MSTRG.7.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.7.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.8.1	79.844	47.805	77.914	152.450	29.672	151.988
MSTRG.8.2	941.855	1109.472	872.026	1423.870	786.063	1449.663
KWMTBOMO16475.mrna1	156.055	172.123	172.745	189.110	113.851	258.802
MSTRG.9.1	22.989	0.000	0.000	0.000	2.885	0.000
MSTRG.9.2	0.000	16.912	10.689	0.000	0.000	14.266
MSTRG.9.3	97.940	72.882	99.263	31.979	23.115	0.000
KWMTBOMO16476.mrna1	0.000	0.000	0.000	0.000	0.000	19.814
MSTRG.9.5	23.829	0.000	0.000	0.000	0.000	0.000
MSTRG.9.6	0.000	8.881	7.009	3.021	0.000	26.920
KWMTBOMO16477.mrna1	9.243	5.325	8.858	0.000	0.000	0.000
MSTRG.11.1	0.000	0.982	0.000	0.970	0.000	0.000
MSTRG.12.1	511.835	544.513	624.134	0.000	55.932	165.482
