Name	rcount_Tb166_quant	rcount_Tb167_quant	rcount_Tb168_quant	rcount_Tb169_quant	rcount_Tb170_quant	rcount_Tb171_quant
MSTRG.1.1	90.029	85.231	102.756	168.442	122.312	91.593
KWMTBOMO16472.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.5.1	13.333	24.408	23.238	28.372	30.130	19.301
MSTRG.2.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.4.1	0.000	1.231	0.000	0.000	0.000	0.000
KWMTBOMO16473.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.6.3	172.884	197.513	129.096	0.000	0.000	1.000
MSTRG.6.4	329.554	347.226	495.821	0.000	0.000	1.014
MSTRG.6.2	139.123	353.436	571.853	0.000	0.000	0.000
MSTRG.6.1	273.037	218.199	290.653	0.000	0.000	0.000
MSTRG.6.5	467.819	326.779	504.033	0.000	2.344	0.000
MSTRG.6.6	13.835	82.124	23.715	0.000	0.000	0.000
KWMTBOMO16474.mrna1	359.682	418.122	281.619	1.000	0.000	0.000
MSTRG.7.1	36.632	38.555	57.652	11.001	2.422	0.000
MSTRG.7.2	69.207	71.877	81.198	0.000	0.000	0.000
MSTRG.7.3	14.999	0.000	0.000	0.000	0.000	0.000
MSTRG.8.1	173.322	68.740	126.634	0.000	154.157	23.846
MSTRG.8.2	278.289	454.421	359.548	287.381	307.115	260.912
KWMTBOMO16475.mrna1	40.468	113.514	106.377	48.459	71.954	65.289
MSTRG.9.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.9.2	142.656	145.453	60.379	230.147	180.644	266.082
MSTRG.9.3	0.000	0.000	155.795	276.385	317.477	122.798
KWMTBOMO16476.mrna1	0.000	0.000	14.125	0.000	30.181	26.921
MSTRG.9.5	0.000	6.689	39.469	0.000	17.341	0.000
MSTRG.9.6	179.107	216.657	101.629	54.222	17.888	0.000
KWMTBOMO16477.mrna1	0.000	0.000	3.539	37.648	34.641	22.230
MSTRG.11.1	140.559	156.848	190.256	8.055	1.526	2.952
MSTRG.12.1	639.097	1039.964	783.294	672.916	714.146	428.785
MSTRG.12.2	0.000	90.840	0.000	0.000	16.968	197.966
MSTRG.12.5	267.130	148.713	293.744	0.000	0.000	0.000
MSTRG.12.4	85.755	266.411	45.032	17.720	25.338	35.119
MSTRG.12.6	30.292	6.315	65.687	7.914	0.000	0.000
MSTRG.12.3	777.330	598.396	1291.047	582.090	469.996	334.680
MSTRG.12.7	0.000	0.000	12.255	0.000	0.000	0.000
MSTRG.12.8	0.000	0.000	0.000	22.114	0.000	33.200
MSTRG.12.9	9.501	0.000	0.000	29.349	0.000	0.000
MSTRG.12.10	0.000	9.598	0.000	0.000	28.378	0.000
MSTRG.12.11	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.12.12	178.390	0.000	46.888	0.000	0.000	0.000
KWMTBOMO16478.mrna1	315.246	370.048	319.330	176.830	112.824	55.492
KWMTBOMO16479.mrna1	364.358	352.502	692.251	234.039	222.259	175.224
MSTRG.10.1	14.139	16.045	37.174	58.255	67.244	45.211
MSTRG.13.1	0.000	0.000	0.000	5.319	6.004	0.000
MSTRG.13.2	0.000	2.043	2.143	0.000	0.000	5.258
KWMTBOMO16480.mrna1	696.565	914.288	751.898	744.924	848.043	649.262
MSTRG.14.1	33.653	38.651	58.356	47.549	44.496	27.965
KWMTBOMO16481.mrna1	592.079	767.603	851.592	1284.595	1629.536	879.018
MSTRG.15.2	2712.998	3266.614	3317.521	4997.982	6023.963	4054.358
MSTRG.15.3	169.523	249.000	274.327	313.216	362.913	341.858
MSTRG.16.1	2.020	0.000	0.000	5.545	3.747	0.000
MSTRG.21.1	23.084	14.859	21.898	19.737	87.028	47.372
MSTRG.21.2	0.000	0.000	29.765	0.000	0.000	0.000
KWMTBOMO16482.mrna1	17.862	29.051	30.000	55.027	60.000	51.024
MSTRG.21.3	53.689	12.343	25.907	113.180	118.935	75.589
MSTRG.21.4	7.192	26.389	15.040	47.551	13.360	35.588
KWMTBOMO16483.mrna1	5.836	3.824	42.220	31.917	56.788	26.599
