Name	TPM_Tb142_quant	TPM_Tb143_quant	TPM_Tb144_quant	TPM_Tb145_quant	TPM_Tb146_quant	TPM_Tb147_quant
MSTRG.1.1	0.074640	0.090070	0.252942	0.301033	0.261978	0.527668
KWMTBOMO16472.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.5.1	0.374876	0.329552	0.313609	0.302098	0.299844	0.661442
MSTRG.2.1	0.000000	1.845337	0.000000	0.000000	0.000000	0.000000
MSTRG.4.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16473.mrna1	0.000000	0.000000	0.060206	0.000000	0.000000	0.000000
MSTRG.6.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.4	0.000000	0.000000	0.040646	0.000000	0.000000	0.031724
MSTRG.6.2	0.000000	0.000000	0.050915	0.000000	0.000000	0.000000
MSTRG.6.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.5	0.000000	0.093159	0.098089	0.268982	0.165674	0.239068
MSTRG.6.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16474.mrna1	0.000000	0.060658	0.000000	0.000000	0.000000	0.112429
MSTRG.7.1	0.036830	0.010208	0.068439	0.055301	0.031288	0.032573
MSTRG.7.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.7.3	0.000000	0.106244	0.183046	0.000000	0.000000	0.000000
MSTRG.8.1	0.481513	0.881887	2.884791	2.238131	1.783173	0.000000
MSTRG.8.2	19.836622	17.241577	19.854062	8.130374	7.917460	14.853859
KWMTBOMO16475.mrna1	27.146724	27.902959	36.661009	13.712543	17.465573	28.705721
MSTRG.9.1	0.000000	0.339337	0.000000	0.000000	1.118580	0.395959
MSTRG.9.2	0.000000	0.000000	0.000000	0.669584	0.000000	0.000000
MSTRG.9.3	1.382172	1.624231	2.269845	2.749274	1.045632	3.609317
KWMTBOMO16476.mrna1	1.077971	0.000000	0.585557	0.000000	0.000000	0.000000
MSTRG.9.5	0.689769	0.000000	0.442181	0.000000	0.000000	0.000000
MSTRG.9.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.136193
KWMTBOMO16477.mrna1	2.723492	2.051326	2.200017	2.159767	0.000000	3.002571
MSTRG.11.1	0.000000	0.000000	0.000000	0.215464	0.000000	0.000000
MSTRG.12.1	5.646071	2.453215	4.501691	1.708449	4.190080	4.111189
MSTRG.12.2	0.000000	0.000000	1.057914	0.000000	0.000000	1.426212
MSTRG.12.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.4	0.000000	0.147076	0.843159	0.000000	0.243085	0.233328
MSTRG.12.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.3	1.691469	1.673361	3.249993	4.350465	4.615095	4.855023
MSTRG.12.7	0.000000	0.000000	0.000000	0.000000	0.000000	0.304703
MSTRG.12.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.11	0.000000	0.000000	0.000000	0.105316	0.000000	0.000000
MSTRG.12.12	0.690123	1.622377	0.000000	1.657222	0.151119	0.000000
KWMTBOMO16478.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16479.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10.1	0.112314	0.111294	0.331564	0.940081	0.948472	1.133088
MSTRG.13.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.13.2	0.000000	0.000000	0.091080	0.000000	0.000000	0.000000
KWMTBOMO16480.mrna1	13.422772	11.329859	11.313316	17.817563	15.694718	19.972176
MSTRG.14.1	0.609066	1.037568	1.275929	0.323339	0.385780	1.117944
KWMTBOMO16481.mrna1	0.000000	0.000000	7.410779	0.000000	0.000000	0.000000
MSTRG.15.2	49.310451	43.874486	56.738653	70.020054	69.315384	118.265529
MSTRG.15.3	1.992244	0.681746	1.898393	1.613263	2.292908	2.239309
MSTRG.16.1	0.249833	0.151981	0.152569	0.110032	0.385352	0.174291
MSTRG.21.1	0.415002	0.223382	0.110536	8.539752	6.156470	4.044390
MSTRG.21.2	0.000000	0.000000	0.391569	2.802455	0.000000	0.000000
KWMTBOMO16482.mrna1	0.267311	0.294026	0.724333	0.871779	1.036037	0.758550
MSTRG.21.3	0.234328	0.201481	1.293812	0.000000	0.000000	0.704694
MSTRG.21.4	0.083132	0.046927	0.054165	0.000000	0.000000	0.000000
KWMTBOMO16483.mrna1	0.000000	0.000000	0.224283	0.000000	0.366091	0.000000
MSTRG.21.6	0.136064	0.403829	0.349395	0.000000	0.491847	0.145554
MSTRG.21.7	3.766814	2.839526	2.273673	4.067097	4.235699	6.543176
KWMTBOMO16484.mrna1	1213.884305	1369.499416	1451.719823	3.092234	4.426174	6.808406
MSTRG.19.1	0.195511	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.20.1	0.000000	0.085408	0.044548	0.000000	0.000000	0.000000
MSTRG.17.1	0.146781	0.097165	0.751953	0.173081	0.000000	0.292071
KWMTBOMO16485.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16486.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16487.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16488.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16489.mrna1	0.000000	0.034028	0.000000	0.027875	0.000000	0.000000
KWMTBOMO16490.mrna1	0.000000	0.026555	0.000000	0.087506	0.112850	0.000000
KWMTBOMO16491.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.23.1	2.470870	1.533775	2.419915	2.067560	2.925976	2.278445
MSTRG.24.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16492.mrna1	0.000000	0.000000	0.007639	0.000000	0.014241	0.000000
KWMTBOMO16493.mrna1	0.000000	0.094879	0.048138	0.000000	0.163537	0.141508
MSTRG.27.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16494.mrna1	0.000000	0.000000	0.000000	0.095747	0.000000	0.000000
KWMTBOMO16495.mrna1	5.890155	4.881556	5.778084	0.223725	0.121328	0.344328
KWMTBOMO16496.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16497.mrna1	0.000000	0.000000	0.024361	0.000000	0.000000	0.000000
MSTRG.35.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.30.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16498.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16499.mrna1	0.000000	0.000000	0.000000	0.546390	0.056234	0.047292
KWMTBOMO16500.mrna1	0.047698	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.32.1	3.418836	1.161492	1.179922	17.089032	30.316226	35.478381
KWMTBOMO16501.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16502.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16503.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.33.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.37.1	0.158064	0.222282	0.204344	0.351039	0.741957	0.494293
KWMTBOMO16504.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16505.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.38.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.39.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16506.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16507.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16508.mrna1	0.000000	0.081590	0.000000	0.000000	0.000000	0.000000
MSTRG.42.1	0.000000	0.000000	0.483141	0.000000	0.000000	0.000000
KWMTBOMO16509.mrna1	0.928755	0.759774	1.369750	0.881527	0.460640	1.655879
KWMTBOMO16510.mrna1	2.794010	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.44.1	7.746275	4.636186	7.000719	0.335259	0.246723	0.403546
MSTRG.44.2	4.891982	3.718712	4.927941	0.545156	0.398652	0.562690
KWMTBOMO16511.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16512.mrna1	0.000000	0.087448	0.000000	0.000000	0.000000	0.000000
