Name	TPM_Tb160_quant	TPM_Tb161_quant	TPM_Tb162_quant	TPM_Tb163_quant	TPM_Tb164_quant	TPM_Tb165_quant
MSTRG.1.1	0.041471	0.126664	0.165416	0.225691	0.304541	0.309033
KWMTBOMO16472.mrna1	0.305554	1.484227	0.807509	121.201537	160.414030	130.290882
MSTRG.5.1	0.117310	0.216147	0.241942	4.512387	4.757598	3.287925
MSTRG.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	13.818803
MSTRG.4.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16473.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.3	0.000000	0.000000	0.073709	0.000000	0.000000	0.000000
MSTRG.6.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.5	0.041292	0.271058	0.060862	0.140123	0.099663	0.000000
MSTRG.6.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16474.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.207041
MSTRG.7.1	0.037670	0.000000	0.009357	0.000000	0.017785	0.038070
MSTRG.7.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.7.3	0.000000	0.076392	0.000000	0.000000	0.000000	0.000000
MSTRG.8.1	0.267199	0.865381	0.440337	2.249847	4.239518	2.060785
MSTRG.8.2	14.065047	12.501863	14.167314	68.348317	71.528344	65.076574
KWMTBOMO16475.mrna1	23.610987	22.180580	31.744226	61.250177	100.547242	145.661174
MSTRG.9.1	0.532327	0.125540	0.000000	0.000000	0.000000	0.000000
MSTRG.9.2	0.000000	0.000000	0.000000	1.531933	0.912583	1.795230
MSTRG.9.3	0.311855	0.873964	1.375342	1.566407	2.418262	2.124183
KWMTBOMO16476.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.9.5	0.520731	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.9.6	0.000000	0.000000	0.150756	0.000000	0.000000	0.318524
KWMTBOMO16477.mrna1	0.000000	1.230012	0.000000	2.605198	3.747936	0.000000
MSTRG.11.1	0.394417	0.179153	0.000000	0.000000	0.000000	0.112512
MSTRG.12.1	0.646816	0.419826	0.000000	1.452774	1.638019	2.747080
MSTRG.12.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.5	0.000000	0.146231	0.000000	0.479072	0.000000	0.000000
MSTRG.12.4	0.000000	0.000000	0.000000	0.141231	0.000000	0.189916
MSTRG.12.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.3	0.240670	0.543908	0.902686	0.644624	1.597011	2.707948
MSTRG.12.7	0.000000	0.000000	0.000000	0.114062	0.000000	0.000000
MSTRG.12.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.10	0.000000	0.000000	0.000000	0.000000	0.000000	0.270162
MSTRG.12.11	0.000000	0.000000	0.000000	0.000000	0.000000	0.124113
MSTRG.12.12	0.000000	0.000000	0.000000	1.160794	1.474256	0.000000
KWMTBOMO16478.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	3.258533
KWMTBOMO16479.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	2.759544
MSTRG.10.1	0.063928	0.264873	0.212045	0.504455	0.945397	2.384837
MSTRG.13.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.13.2	0.096589	0.000000	0.000000	0.000000	0.138587	0.114841
KWMTBOMO16480.mrna1	15.460156	12.981184	14.448932	42.136722	42.461454	39.118578
MSTRG.14.1	0.545843	0.436820	0.474481	0.726780	0.494773	1.154114
KWMTBOMO16481.mrna1	3.511841	0.000000	4.443720	0.000000	26.627157	116.257426
MSTRG.15.2	51.994083	57.677027	63.053716	122.389513	135.310849	125.949390
MSTRG.15.3	1.510354	3.475442	3.281177	4.092478	6.022951	6.270654
MSTRG.16.1	0.027410	0.065896	0.050524	0.099682	0.055725	0.000000
MSTRG.21.1	2.412716	3.059227	5.150515	16.583482	21.253785	24.708034
MSTRG.21.2	2.524355	4.077246	3.282675	16.704540	12.908065	4.582183
KWMTBOMO16482.mrna1	0.529800	0.564208	0.231677	1.062300	0.984665	1.950112
MSTRG.21.3	0.000000	0.000000	0.272292	0.682491	0.171241	0.144847
MSTRG.21.4	0.000000	0.000000	0.082181	0.167282	0.081614	0.000000
KWMTBOMO16483.mrna1	0.000000	0.216054	0.000000	0.132838	0.147313	0.707106
MSTRG.21.6	0.521977	0.775261	0.274994	0.305455	1.156959	0.620597
MSTRG.21.7	3.518401	2.161465	0.000000	5.736120	0.000000	18.281556
KWMTBOMO16484.mrna1	246.272239	248.076813	320.281031	369.487509	681.574056	601.242329
MSTRG.19.1	0.000000	0.000000	0.000000	0.177324	0.000000	0.000000
MSTRG.20.1	0.000000	0.000000	0.000000	0.033145	0.217561	0.000000
MSTRG.17.1	2.802577	2.348596	4.699771	0.000000	0.182456	0.170467
KWMTBOMO16485.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16486.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16487.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16488.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16489.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16490.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16491.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.23.1	0.902981	0.535564	1.319701	0.000000	1.026277	0.000000
MSTRG.24.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16492.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16493.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.27.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16494.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16495.mrna1	0.059998	0.000000	0.000000	0.105412	0.226212	0.193542
KWMTBOMO16496.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16497.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.35.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.30.1	0.000000	0.494325	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16498.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16499.mrna1	0.122814	0.072053	0.084450	1.525608	0.982239	1.099114
KWMTBOMO16500.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.32.1	2.808285	0.863049	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16501.mrna1	0.000000	0.000000	0.000000	0.032080	0.000000	0.000000
KWMTBOMO16502.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16503.mrna1	0.000000	0.000000	0.000000	0.348872	0.214112	0.242441
MSTRG.33.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.37.1	0.078148	0.074049	0.150629	0.305861	0.198263	0.172427
KWMTBOMO16504.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16505.mrna1	0.000000	0.047939	0.153408	0.000000	0.020499	0.044248
MSTRG.38.1	0.000000	0.000000	0.000000	0.000000	6.346176	0.000000
MSTRG.39.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16506.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16507.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16508.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.42.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16509.mrna1	0.313652	0.623063	0.264444	0.554332	0.927241	0.597082
KWMTBOMO16510.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.44.1	0.448684	0.743475	0.370089	0.385522	0.000000	0.427051
MSTRG.44.2	0.089895	0.091541	0.260946	0.112913	0.140359	0.000000
KWMTBOMO16511.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16512.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16513.mrna1	0.000000	0.069915	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16514.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.46.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16515.mrna1	0.000000	0.000000	0.000000	0.000000	0.071330	0.063353
MSTRG.47.1	0.000000	0.000000	0.048698	0.000000	0.000000	0.000000
KWMTBOMO16516.mrna1	0.037179	0.000000	0.029450	0.031625	0.052787	0.131193
KWMTBOMO16517.mrna1	0.062302	0.078816	0.038869	0.568864	0.862507	1.211841
MSTRG.50.1	24.356167	27.720861	23.008461	96.503691	139.134438	108.417570
MSTRG.50.2	0.725866	0.790749	0.759994	1.258267	0.970026	1.115483
MSTRG.50.3	8.412417	8.916214	8.274184	4.483015	4.224809	9.482418
MSTRG.51.1	0.476458	0.520541	0.537023	12.554805	10.116403	11.830339
KWMTBOMO16518.mrna1	3.131004	1.272688	4.348379	112.988457	96.551494	135.171887
KWMTBOMO16519.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.52.1	0.000000	0.000000	0.410686	0.000000	0.000000	0.000000
MSTRG.52.2	0.000000	0.000000	0.000000	0.000000	0.161475	0.000000
MSTRG.52.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16520.mrna1	0.264942	0.320568	0.459766	1.005199	0.678471	1.381871
MSTRG.53.1	4.113152	11.120318	9.553205	12.564876	16.416643	30.744413
MSTRG.60.1	0.436893	0.668156	0.535590	10.281669	13.388460	16.194135
MSTRG.60.3	1.424198	1.713500	1.958759	54.663640	72.827994	88.214866
MSTRG.60.2	1.644316	2.102089	2.032962	121.339335	103.609178	72.516905
KWMTBOMO16521.mrna1	13.632264	12.575021	11.619487	346.765912	329.408711	396.778239
MSTRG.55.1	0.000000	0.000000	0.000000	0.435350	0.754060	0.321362
MSTRG.54.1	0.000000	0.037075	0.051447	0.000000	0.000000	0.000000
MSTRG.56.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.57.1	0.000000	0.000000	0.000000	1.342096	0.701689	0.000000
MSTRG.59.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16522.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.58.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16523.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16524.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.61.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16525.mrna1	0.040371	0.035126	0.077850	0.126037	0.162547	0.047449
KWMTBOMO16526.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.2	0.000000	0.848518	1.073133	0.000000	0.000000	0.000000
MSTRG.64.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.3	0.000000	0.000000	0.000000	0.357154	0.000000	0.000000
MSTRG.64.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.64.10	0.000000	0.000000	1.396916	4.350016	7.834018	3.786326
KWMTBOMO16527.mrna1	0.377082	0.499294	0.674345	0.421285	0.532520	0.497689
MSTRG.67.2	1.195562	1.203338	0.778750	3.017210	1.933347	2.307290
MSTRG.68.1	1.108378	0.345613	1.996427	0.000000	0.000000	0.987376
MSTRG.68.2	0.000000	1.557493	0.000000	1.992484	0.000000	0.000000
KWMTBOMO16528.mrna1	0.000000	0.000000	0.000000	0.000000	4.457063	5.007910
KWMTBOMO16529.mrna1	0.419876	0.193406	0.481960	0.679457	0.753434	0.639410
KWMTBOMO16530.mrna1	0.069138	0.000000	0.000000	0.162329	0.000000	0.000000
KWMTBOMO16531.mrna1	0.063179	0.084628	0.075059	0.098156	0.080317	0.293525
KWMTBOMO16532.mrna1	2.266342	2.895014	2.906963	2.925600	5.891911	6.286755
KWMTBOMO16533.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.73.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.74.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16534.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.74.3	0.000000	0.000000	0.933391	0.394465	1.262620	0.483331
MSTRG.74.4	0.000000	0.000000	0.000000	0.000000	0.118439	0.000000
MSTRG.75.1	69.068737	90.028619	85.363482	35.268548	33.686582	25.115061
KWMTBOMO16535.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.71.1	0.000000	0.000000	0.139351	0.000000	0.000000	0.000000
KWMTBOMO16536.mrna1	0.013415	0.013864	0.000000	0.149731	0.101553	0.102337
KWMTBOMO16537.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.76.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16538.mrna1	0.245446	0.345682	0.598384	0.820685	2.251341	6.658530
KWMTBOMO16539.mrna1	0.000000	0.000000	0.000000	0.000000	0.058971	0.000000
KWMTBOMO16542.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.78.1	0.000000	0.000000	0.000000	35.605547	0.000000	51.380768
MSTRG.80.1	1.067652	1.954613	1.766646	2.399373	0.941670	4.953971
KWMTBOMO16540.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.79.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16541.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16545.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.81.1	0.000000	4.373380	0.000000	1.698565	0.000000	0.000000
MSTRG.82.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16546.mrna1	0.000000	0.000000	0.000000	0.040981	0.000000	0.000000
KWMTBOMO16547.mrna1	0.000000	0.000000	0.000000	0.445748	0.395581	0.000000
KWMTBOMO16548.mrna1	0.829746	0.000000	0.821281	0.000000	0.000000	0.000000
MSTRG.85.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16549.mrna1	0.034849	0.000000	0.030785	0.000000	0.056308	0.000000
MSTRG.87.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16550.mrna1	0.000000	0.000000	0.000000	0.000000	0.047867	0.000000
KWMTBOMO16551.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16543.mrna1	1.401888	1.619288	1.480094	2.087282	4.399984	6.138185
MSTRG.89.1	9.358624	10.085493	7.379189	36.940518	29.576913	24.829502
KWMTBOMO16544.mrna1	0.607917	0.000000	0.000000	0.624196	0.000000	6.291305
MSTRG.89.3	1.267615	1.236935	2.224109	2.066377	3.325865	8.420686
MSTRG.90.1	0.197997	0.091859	0.087079	0.000000	0.127392	0.000000
KWMTBOMO16552.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.91.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.91.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.91.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.91.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16553.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16554.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.94.2	28.578510	37.922510	28.092197	0.000000	0.000000	0.000000
MSTRG.95.1	10.005472	11.389020	8.716769	21.460602	22.487995	20.505980
