Name	TPM_Tb148_quant	TPM_Tb149_quant	TPM_Tb150_quant	TPM_Tb151_quant	TPM_Tb152_quant	TPM_Tb153_quant
MSTRG.1.1	0.049678	0.084790	0.329446	0.181256	0.207880	0.490757
KWMTBOMO16472.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.5.1	0.307903	0.236422	0.576106	0.254478	0.205119	0.745800
MSTRG.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.4.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16473.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.5	0.000000	0.325204	0.195190	0.000000	0.158791	0.390275
MSTRG.6.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16474.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.7.1	0.012967	0.023425	0.049073	0.037443	0.039410	0.117559
MSTRG.7.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.7.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.8.1	0.560505	3.532670	1.459989	1.522592	2.122994	0.000000
MSTRG.8.2	13.053010	15.173453	18.562533	17.177507	15.538204	20.009482
KWMTBOMO16475.mrna1	17.409649	29.798856	35.643193	21.771367	23.222773	39.613947
MSTRG.9.1	1.005998	0.000000	1.594953	0.000000	1.012067	0.000000
MSTRG.9.2	0.000000	0.561464	0.000000	0.000000	0.000000	1.127407
MSTRG.9.3	2.708434	1.881485	2.566394	4.213138	1.182431	3.736048
KWMTBOMO16476.mrna1	0.000000	0.000000	0.890202	0.000000	0.000000	0.000000
MSTRG.9.5	0.000000	0.000000	0.000000	0.000000	0.247109	0.000000
MSTRG.9.6	0.597187	0.481492	0.000000	0.313121	0.000000	0.000000
KWMTBOMO16477.mrna1	0.000000	1.237578	0.000000	3.696913	2.615739	3.172001
MSTRG.11.1	0.473287	0.000000	0.134037	0.000000	0.000000	0.000000
MSTRG.12.1	7.334363	7.336620	7.002321	7.610301	4.190731	7.631384
MSTRG.12.2	0.000000	1.153938	0.000000	0.000000	0.000000	0.000000
MSTRG.12.5	0.000000	0.000000	0.000000	0.000000	0.317860	0.000000
MSTRG.12.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.276676
MSTRG.12.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.3	4.651911	5.404457	6.893954	4.674114	2.340870	5.205643
MSTRG.12.7	0.000000	0.000000	0.000000	0.140131	0.000000	0.000000
MSTRG.12.8	0.000000	0.288790	0.000000	0.000000	0.000000	0.000000
MSTRG.12.9	0.000000	0.000000	0.000000	0.000000	0.158522	0.000000
MSTRG.12.10	0.582005	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.11	0.000000	0.000000	0.000000	0.000000	0.000000	0.152766
