Name	TPM_Tb154_quant	TPM_Tb155_quant	TPM_Tb156_quant	TPM_Tb157_quant	TPM_Tb158_quant	TPM_Tb159_quant
MSTRG.1.1	0.168280	0.154708	0.323125	0.063592	0.013344	0.055944
KWMTBOMO16472.mrna1	0.000000	0.000000	0.000000	1.187455	0.000000	0.000000
MSTRG.5.1	0.075371	0.040829	0.118058	0.310101	0.028364	0.034364
MSTRG.2.1	1.755633	0.000000	11.702218	0.000000	0.000000	0.000000
MSTRG.4.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16473.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.135376
MSTRG.6.4	0.000000	0.017980	0.000000	0.000000	0.000000	0.000000
MSTRG.6.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.5	0.000000	0.000000	0.144921	0.000000	0.000000	0.232283
MSTRG.6.6	0.000000	0.000000	0.000000	0.041437	0.000000	0.000000
KWMTBOMO16474.mrna1	0.000000	0.000000	0.000000	0.082748	0.000000	0.000000
MSTRG.7.1	0.000000	0.015962	0.027863	0.000000	0.000000	0.000000
MSTRG.7.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.7.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.8.1	0.921755	0.503758	1.142197	1.947712	0.483811	1.714153
MSTRG.8.2	11.552974	12.422144	13.582270	19.325901	13.615630	17.368433
KWMTBOMO16475.mrna1	23.709728	23.796774	33.084726	31.057813	23.626228	37.239231
MSTRG.9.1	0.474795	0.000000	0.000000	0.000000	0.083942	0.000000
MSTRG.9.2	0.000000	0.412837	0.362780	0.000000	0.000000	0.371301
MSTRG.9.3	2.648875	1.798736	3.405990	0.954106	0.879132	0.000000
KWMTBOMO16476.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.694401
MSTRG.9.5	0.568337	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.9.6	0.000000	0.182519	0.200301	0.075128	0.000000	0.590535
KWMTBOMO16477.mrna1	1.891518	0.990752	2.281717	0.000000	0.000000	0.000000
MSTRG.11.1	0.000000	0.074119	0.000000	0.087677	0.000000	0.000000
MSTRG.12.1	3.447643	3.348254	5.340042	0.000000	0.532850	1.090368
MSTRG.12.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.6	0.000000	0.000000	0.000000	0.000000	0.000000	0.046018
MSTRG.12.3	1.280096	1.696766	2.562684	0.639799	0.417439	0.174466
MSTRG.12.7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.10	0.000000	0.000000	0.296456	0.000000	0.000000	0.000000
MSTRG.12.11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.12	1.221161	0.566616	0.000000	0.486248	0.429724	0.158190
KWMTBOMO16478.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16479.mrna1	0.000000	0.000000	0.755817	0.000000	0.000000	0.322070
MSTRG.10.1	0.228920	0.074716	0.187295	0.058489	0.055978	0.121869
MSTRG.13.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.13.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16480.mrna1	31.224674	23.014270	25.192004	11.961470	8.305902	10.973091
MSTRG.14.1	0.485788	0.358244	0.327803	0.463986	0.197831	0.533498
KWMTBOMO16481.mrna1	0.000000	0.000000	18.880974	0.000000	2.944126	3.517730
MSTRG.15.2	87.765525	87.349139	98.242516	57.391630	46.577591	56.209379
MSTRG.15.3	3.485799	3.186184	5.931434	0.502305	1.220080	1.309649
MSTRG.16.1	0.145000	0.072125	0.000000	0.156439	0.000000	0.022917
MSTRG.21.1	1.379200	0.284869	0.387878	22.650370	16.150156	26.413500
MSTRG.21.2	0.000000	0.000000	0.000000	19.786238	8.558011	10.107246
KWMTBOMO16482.mrna1	0.726603	0.389390	0.737063	0.760011	0.816377	0.740409
MSTRG.21.3	0.580795	0.381317	0.614976	0.061968	0.194475	0.233678
MSTRG.21.4	0.076652	0.113285	0.000000	0.055928	0.102362	0.207765
KWMTBOMO16483.mrna1	0.119669	0.072724	0.000000	0.000000	0.186639	0.000000
MSTRG.21.6	0.241445	0.236846	0.633452	0.115788	1.033632	2.566663
MSTRG.21.7	1.128031	2.082202	2.074956	0.000000	10.737854	0.000000
KWMTBOMO16484.mrna1	10.737869	9.403665	31.401433	714.144247	680.698030	768.403773
MSTRG.19.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.20.1	0.000000	0.000000	0.000000	0.077000	0.000000	0.096176
MSTRG.17.1	1.031317	1.108877	0.610704	0.686158	0.000000	0.359995
KWMTBOMO16485.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16486.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16487.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16488.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16489.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16490.mrna1	0.000000	0.000000	0.040498	0.070298	0.000000	0.000000
KWMTBOMO16491.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.23.1	2.959816	2.140659	5.495237	0.000000	0.000000	1.105943
MSTRG.24.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16492.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16493.mrna1	0.094660	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.27.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16494.mrna1	0.000000	0.000000	0.000000	0.000000	0.052352	0.110629
KWMTBOMO16495.mrna1	0.000000	0.000000	0.111687	0.192588	0.271445	0.351688
KWMTBOMO16496.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16497.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.35.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.30.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16498.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16499.mrna1	0.203832	0.213214	0.125429	0.072275	0.000000	0.030445
KWMTBOMO16500.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.32.1	1.097530	0.396244	0.000000	0.000000	0.777848	0.000000
KWMTBOMO16501.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16502.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16503.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.33.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.37.1	0.000000	0.000000	0.081700	0.192542	0.000000	0.000000
KWMTBOMO16504.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16505.mrna1	0.000000	0.000000	0.000000	0.098083	0.056257	0.042740
MSTRG.38.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.39.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16506.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16507.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16508.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.42.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16509.mrna1	0.098614	0.185050	0.491506	0.164320	0.397276	0.203995
KWMTBOMO16510.mrna1	0.000000	0.000000	0.000000	0.000000	0.499809	0.000000
MSTRG.44.1	0.403703	0.221407	0.919361	0.345686	0.389835	0.216129
MSTRG.44.2	0.866936	0.000000	0.246615	0.214138	0.000000	0.307655
KWMTBOMO16511.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16512.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16513.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16514.mrna1	0.000000	0.000000	0.000000	0.043116	0.026230	0.000000
MSTRG.46.1	0.000000	0.000000	3.327372	0.000000	0.000000	3.179945
KWMTBOMO16515.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.045300
MSTRG.47.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16516.mrna1	0.000000	0.000000	0.000000	0.603774	0.227031	0.275973
KWMTBOMO16517.mrna1	0.031675	0.000000	0.030606	0.250326	0.301991	1.006338
MSTRG.50.1	78.984732	71.806652	85.220537	17.922695	19.501607	10.913749
MSTRG.50.2	1.035503	0.686120	1.047386	0.293560	0.280146	0.311320
MSTRG.50.3	3.012371	2.412709	6.389726	3.968888	3.430766	2.841558
MSTRG.51.1	3.227661	2.933893	2.426418	1.834118	2.041940	1.047255
KWMTBOMO16518.mrna1	7.201755	11.746757	4.100207	1.982308	9.589918	2.138003
KWMTBOMO16519.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.52.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.52.2	0.000000	0.000000	0.000000	0.233063	0.449947	0.000000
MSTRG.52.3	0.000000	0.000000	0.085222	0.000000	0.000000	0.000000
KWMTBOMO16520.mrna1	0.215762	0.115931	0.651223	0.000000	0.000000	0.964227
MSTRG.53.1	14.532579	17.705456	25.788054	11.280681	10.623614	16.698162
MSTRG.60.1	0.540625	0.238760	0.699860	0.331588	0.324254	0.603506
