Name	TPM_Tb166_quant	TPM_Tb167_quant	TPM_Tb168_quant	TPM_Tb169_quant	TPM_Tb170_quant	TPM_Tb171_quant
MSTRG.1.1	0.984832	0.818201	1.017669	1.594297	0.935364	1.037588
KWMTBOMO16472.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.5.1	0.398958	0.640370	0.630511	0.735636	0.632570	0.599896
MSTRG.2.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.4.1	0.000000	0.990854	0.000000	0.000000	0.000000	0.000000
KWMTBOMO16473.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.6.3	18.209058	18.178903	12.407494	0.000000	0.000000	0.110728
MSTRG.6.4	11.064775	10.220446	15.100170	0.000000	0.000000	0.035380
MSTRG.6.2	5.603860	12.477018	20.905358	0.000000	0.000000	0.000000
MSTRG.6.1	10.874414	7.616510	10.505707	0.000000	0.000000	0.000000
MSTRG.6.5	16.876152	10.333349	16.496240	0.000000	0.059390	0.000000
MSTRG.6.6	0.807986	4.200197	1.258930	0.000000	0.000000	0.000000
KWMTBOMO16474.mrna1	40.545616	41.174181	28.986558	0.098305	0.000000	0.000000
MSTRG.7.1	0.513229	0.473966	0.731463	0.133387	0.023736	0.000000
MSTRG.7.2	6.830389	6.200828	7.308607	0.000000	0.000000	0.000000
MSTRG.7.3	1.550707	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.8.1	3.197704	1.112571	2.116529	0.000000	1.991167	0.456154
MSTRG.8.2	5.450749	7.807840	6.380422	4.873618	4.212273	5.299531
KWMTBOMO16475.mrna1	8.526206	20.803170	20.630960	8.970018	11.003951	14.696816
MSTRG.9.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.9.2	5.993433	5.355347	2.302594	8.386656	5.337624	11.634448
MSTRG.9.3	0.000000	0.000000	6.005264	10.179900	9.482080	5.427262
KWMTBOMO16476.mrna1	0.000000	0.000000	0.720371	0.000000	1.194414	1.575833
MSTRG.9.5	0.000000	0.220359	1.345995	0.000000	0.457978	0.000000
MSTRG.9.6	6.365674	6.750039	3.276895	1.670646	0.446560	0.000000
KWMTBOMO16477.mrna1	0.000000	0.000000	0.896197	9.089002	6.944935	6.549898
MSTRG.11.1	17.197078	16.756508	21.271186	0.860114	0.133327	0.380704
MSTRG.12.1	6.918103	9.879195	7.676451	6.302568	5.404164	4.806576
MSTRG.12.2	0.000000	0.827844	0.000000	0.000000	0.123167	2.128689
MSTRG.12.5	3.251030	1.588200	3.236918	0.000000	0.000000	0.000000
MSTRG.12.4	0.903736	2.463911	0.429649	0.161572	0.186664	0.383254
MSTRG.12.6	0.315877	0.057787	0.620110	0.071399	0.000000	0.000000
MSTRG.12.3	7.537583	5.092368	11.332958	4.883316	3.185282	3.360109
MSTRG.12.7	0.000000	0.000000	0.113909	0.000000	0.000000	0.000000
MSTRG.12.8	0.000000	0.000000	0.000000	0.194225	0.000000	0.348968
MSTRG.12.9	0.097177	0.000000	0.000000	0.259724	0.000000	0.000000
MSTRG.12.10	0.000000	0.088313	0.000000	0.000000	0.207983	0.000000
MSTRG.12.11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.12.12	1.863088	0.000000	0.443327	0.000000	0.000000	0.000000
KWMTBOMO16478.mrna1	17.051503	17.531220	15.694110	8.303827	4.301974	3.129904
KWMTBOMO16479.mrna1	10.263924	8.707473	17.680430	5.712148	4.391556	5.125746
MSTRG.10.1	0.298077	0.296715	0.710147	1.063494	0.993007	0.988655
MSTRG.13.1	0.000000	0.000000	0.000000	0.306336	0.281163	0.000000
MSTRG.13.2	0.000000	0.110932	0.120834	0.000000	0.000000	0.340381
KWMTBOMO16480.mrna1	48.203962	55.379941	47.338458	44.808137	41.492563	46.965776
MSTRG.14.1	0.926310	0.932940	1.456254	1.133899	0.858964	0.799242
KWMTBOMO16481.mrna1	47.570054	53.953927	62.305394	89.789374	92.766895	73.955933
MSTRG.15.2	59.973756	63.339255	66.458347	95.681081	93.295318	92.980498
MSTRG.15.3	3.468637	4.469148	5.085833	5.549294	5.200674	7.254696
MSTRG.16.1	0.073030	0.000000	0.000000	0.173787	0.095152	0.000000
MSTRG.21.1	1.660597	0.935458	1.433488	1.234407	4.428655	3.563704
MSTRG.21.2	0.000000	0.000000	2.484831	0.000000	0.000000	0.000000
KWMTBOMO16482.mrna1	1.008216	1.436127	1.538951	2.697121	2.388576	3.004376
MSTRG.21.3	2.798431	0.563558	1.226737	5.120776	4.368440	4.107043
MSTRG.21.4	0.358494	1.152343	0.680946	2.057127	0.469063	1.848560
KWMTBOMO16483.mrna1	0.365217	0.209504	2.402440	1.735230	2.509386	1.738150
